105/11/21,87000,78590,0.87,0.93,0.87,0.93,-0.04,6
105/11/22,160000,151400,0.92,0.96,0.92,0.96,0.03,7
105/11/23,69000,65250,0.93,0.95,0.93,0.95,-0.01,6
105/11/24,178000,164810,0.93,0.95,0.91,0.95,,8
105/11/25,25000,21900,0.86,0.90,0.86,0.90,-0.05,2
105/11/28,211000,191210,0.92,0.94,0.87,0.87,-0.03,5
105/11/29,39000,35460,0.88,0.93,0.88,0.91,0.04,8
105/11/30,41000,33540,0.81,0.84,0.81,0.83,-0.08,3
105/12/01,18000,14450,0.81,0.81,0.80,0.81,-0.02,4
105/12/02,5000,3700,0.74,0.74,0.74,0.74,-0.07,1
105/12/05,41000,28290,0.69,0.69,0.69,0.69,-0.05,1
105/12/06,26000,19470,0.72,0.75,0.72,0.75,0.06,2
105/12/07,0,0,--,--,--,--,,0
105/12/08,25000,18250,0.73,0.73,0.73,0.73,X,1
105/12/09,238000,197540,0.86,0.86,0.82,0.82,0.09,7
105/12/12,41000,31390,0.79,0.79,0.74,0.79,-0.03,3
105/12/13,0,0,--,--,--,--,,0
105/12/14,1330000,1097400,0.76,0.83,0.76,0.83,X,24
105/12/15,1274000,1139210,0.88,0.91,0.85,0.85,0.02,18
105/12/16,564000,444780,0.81,0.81,0.77,0.77,-0.08,8
105/12/19,82000,59040,0.72,0.72,0.72,0.72,-0.05,3
105/12/20,60000,41500,0.73,0.73,0.67,0.67,-0.05,4
105/12/21,149000,97850,0.67,0.67,0.65,0.65,-0.02,2
105/12/22,0,0,--,--,--,--,,0
105/12/23,40000,24300,0.60,0.61,0.60,0.61,X,2
105/12/26,116000,70200,0.60,0.62,0.60,0.62,0.01,3
105/12/27,682000,423090,0.62,0.63,0.62,0.62,,4
105/12/28,645000,407550,0.64,0.65,0.63,0.65,0.03,8
105/12/29,95000,63190,0.65,0.67,0.64,0.67,0.02,5
105/12/30,907000,696190,0.80,0.81,0.75,0.76,0.09,19
106/01/03,398000,303010,0.79,0.79,0.74,0.74,-0.02,15
106/01/04,972000,746760,0.74,0.80,0.72,0.77,0.03,24
106/01/05,1716000,1350990,0.77,0.81,0.75,0.79,0.02,31
106/01/06,1153000,893400,0.79,0.84,0.75,0.80,0.01,23
106/01/09,738000,668700,0.90,0.97,0.87,0.97,0.17,22
106/01/10,431000,403480,0.90,0.97,0.88,0.97,,18
106/01/11,565000,550360,0.97,1.00,0.94,0.97,,17
106/01/12,155000,148510,0.97,0.99,0.94,0.99,0.02,16
106/01/13,262000,238880,0.95,0.95,0.90,0.91,-0.08,13
106/01/16,57000,49240,0.88,0.88,0.86,0.86,-0.05,6
106/01/17,181000,164320,0.89,0.92,0.89,0.90,0.04,8
106/01/18,710000,698580,0.91,1.01,0.91,1.00,0.10,31
106/01/19,472000,462340,0.99,1.00,0.94,0.99,-0.01,23
106/01/20,252000,231100,0.94,0.94,0.89,0.89,-0.10,13
106/01/23,56000,51460,0.92,0.92,0.91,0.91,0.02,2
106/01/24,80000,75400,0.95,0.95,0.93,0.93,0.02,3
106/02/02,10000,9200,0.92,0.92,0.92,0.92,-0.01,1
106/02/03,0,0,--,--,--,--,,0
106/02/06,51000,43380,0.87,0.87,0.84,0.84,X,4
106/02/07,28000,23240,0.83,0.83,0.83,0.83,-0.01,3
106/02/08,0,0,--,--,--,--,,0
106/02/09,0,0,--,--,--,--,,0
106/02/10,307000,246130,0.79,0.83,0.79,0.80,X,6
106/02/13,460000,376560,0.83,0.86,0.80,0.84,0.04,29
106/02/14,754000,691510,0.87,1.00,0.87,0.98,0.14,25
106/02/15,1160000,1089750,1.02,1.02,0.88,0.91,-0.07,55
106/02/16,653000,576100,0.90,0.90,0.85,0.88,-0.03,12
106/02/17,50000,42500,0.85,0.85,0.85,0.85,-0.03,3
106/02/18,10000,8400,0.84,0.84,0.84,0.84,-0.01,1
106/02/20,95000,77890,0.87,0.87,0.78,0.78,-0.06,7
106/02/21,40000,31600,0.79,0.79,0.79,0.79,0.01,1
106/02/22,0,0,--,--,--,--,,0
106/02/23,0,0,--,--,--,--,,0
106/02/24,0,0,--,--,--,--,,0
106/03/01,0,0,--,--,--,--,,0
106/03/02,0,0,--,--,--,--,,0
106/03/03,132000,88420,0.66,0.67,0.66,0.67,X,3
106/03/06,0,0,--,--,--,--,,0
106/03/07,10000,6600,0.66,0.66,0.66,0.66,X,1
106/03/08,340000,223400,0.63,0.67,0.63,0.67,0.01,5
106/03/09,271000,182370,0.70,0.71,0.65,0.66,-0.01,4
106/03/10,83000,51220,0.62,0.62,0.60,0.60,-0.06,3
106/03/13,160000,99640,0.61,0.64,0.60,0.60,,4
106/03/14,860000,574680,0.66,0.70,0.64,0.69,0.09,14
106/03/15,708000,468900,0.67,0.67,0.64,0.64,-0.05,29
106/03/16,274000,188840,0.69,0.70,0.66,0.66,0.02,8
106/03/17,260000,169520,0.66,0.67,0.65,0.65,-0.01,6
106/03/20,255000,171400,0.67,0.68,0.67,0.67,0.02,3
106/03/21,159000,111120,0.69,0.70,0.69,0.69,0.02,4
